Date,GoogleIndex,MovieTitle,Studio
2018-11-04,5,Instant Family,Par.
2018-11-05,5,Instant Family,Par.
2018-11-06,6,Instant Family,Par.
2018-11-07,9,Instant Family,Par.
2018-11-08,11,Instant Family,Par.
2018-11-09,15,Instant Family,Par.
2018-11-10,13,Instant Family,Par.
2018-11-11,12,Instant Family,Par.
2018-11-12,14,Instant Family,Par.
2018-11-13,15,Instant Family,Par.
2018-11-14,28,Instant Family,Par.
2018-11-15,60,Instant Family,Par.
2018-11-16,100,Instant Family,Par.
2018-11-17,84,Instant Family,Par.
2018-11-18,43,Instant Family,Par.
2018-11-19,42,Instant Family,Par.
2018-11-20,49,Instant Family,Par.
2018-11-21,50,Instant Family,Par.
2018-11-22,72,Instant Family,Par.
2018-11-23,85,Instant Family,Par.
2018-11-24,66,Instant Family,Par.
2018-11-25,28,Instant Family,Par.
2018-11-26,25,Instant Family,Par.
2018-11-27,22,Instant Family,Par.
2018-10-31,10,Robin Hood 2018,LG/S
2018-11-01,9,Robin Hood 2018,LG/S
2018-11-02,19,Robin Hood 2018,LG/S
2018-11-03,19,Robin Hood 2018,LG/S
2018-11-04,28,Robin Hood 2018,LG/S
2018-11-05,27,Robin Hood 2018,LG/S
2018-11-06,24,Robin Hood 2018,LG/S
2018-11-07,25,Robin Hood 2018,LG/S
2018-11-08,26,Robin Hood 2018,LG/S
2018-11-09,30,Robin Hood 2018,LG/S
2018-11-10,35,Robin Hood 2018,LG/S
2018-11-11,31,Robin Hood 2018,LG/S
2018-11-12,25,Robin Hood 2018,LG/S
2018-11-13,29,Robin Hood 2018,LG/S
2018-11-14,28,Robin Hood 2018,LG/S
2018-11-15,30,Robin Hood 2018,LG/S
2018-11-16,39,Robin Hood 2018,LG/S
2018-11-17,42,Robin Hood 2018,LG/S
2018-11-18,39,Robin Hood 2018,LG/S
2018-11-19,85,Robin Hood 2018,LG/S
2018-11-20,91,Robin Hood 2018,LG/S
2018-11-21,92,Robin Hood 2018,LG/S
2018-11-22,85,Robin Hood 2018,LG/S
2018-11-23,92,Robin Hood 2018,LG/S
2018-11-24,100,Robin Hood 2018,LG/S
2018-11-25,62,Robin Hood 2018,LG/S
2018-11-26,56,Robin Hood 2018,LG/S
2018-11-27,55,Robin Hood 2018,LG/S
2018-10-31,13,Widows,Fox
2018-11-01,15,Widows,Fox
2018-11-02,15,Widows,Fox
2018-11-03,18,Widows,Fox
2018-11-04,16,Widows,Fox
2018-11-05,20,Widows,Fox
2018-11-06,20,Widows,Fox
2018-11-07,21,Widows,Fox
2018-11-08,26,Widows,Fox
2018-11-09,31,Widows,Fox
2018-11-10,28,Widows,Fox
2018-11-11,23,Widows,Fox
2018-11-12,25,Widows,Fox
2018-11-13,28,Widows,Fox
2018-11-14,38,Widows,Fox
2018-11-15,72,Widows,Fox
2018-11-16,100,Widows,Fox
2018-11-17,82,Widows,Fox
2018-11-18,48,Widows,Fox
2018-11-19,43,Widows,Fox
2018-11-20,47,Widows,Fox
2018-11-21,48,Widows,Fox
2018-11-22,70,Widows,Fox
2018-11-23,84,Widows,Fox
2018-11-24,67,Widows,Fox
2018-11-25,35,Widows,Fox
2018-11-26,33,Widows,Fox
2018-11-27,32,Widows,Fox
2018-10-31,19,Green Book,Uni.
2018-11-01,22,Green Book,Uni.
2018-11-02,25,Green Book,Uni.
2018-11-03,22,Green Book,Uni.
2018-11-04,20,Green Book,Uni.
2018-11-05,20,Green Book,Uni.
2018-11-06,20,Green Book,Uni.
2018-11-07,20,Green Book,Uni.
2018-11-08,18,Green Book,Uni.
2018-11-09,19,Green Book,Uni.
2018-11-10,20,Green Book,Uni.
2018-11-11,21,Green Book,Uni.
2018-11-12,22,Green Book,Uni.
2018-11-13,19,Green Book,Uni.
2018-11-14,25,Green Book,Uni.
2018-11-15,29,Green Book,Uni.
2018-11-16,30,Green Book,Uni.
2018-11-17,35,Green Book,Uni.
2018-11-18,28,Green Book,Uni.
2018-11-19,41,Green Book,Uni.
